Epoch [1/5] | Avg Train Recon: 74.1344 | Val Recon: 88.3420 | LR: 1.00e-03
Epoch [2/5] | Avg Train Recon: 87.4647 | Val Recon: 93.5150 | LR: 1.00e-03
Epoch [3/5] | Avg Train Recon: 91.4841 | Val Recon: 95.5957 | LR: 1.00e-03
Epoch [4/5] | Avg Train Recon: 93.6035 | Val Recon: 96.6328 | LR: 1.00e-03
Epoch [5/5] | Avg Train Recon: 94.7338 | Val Recon: 97.4224 | LR: 1.00e-03
Epoch [5/5] | Avg Train Recon: 95.6000 | Val Recon: 97.5482 | LR: 1.00e-03
Epoch [6/5] | Avg Train Recon: 96.2286 | Val Recon: 98.1790 | LR: 1.00e-03
Epoch [5/5] | Avg Train Recon: 98.0689 | Val Recon: 99.2756 | LR: 1.00e-04
Epoch [6/5] | Avg Train Recon: 98.3022 | Val Recon: 99.3350 | LR: 1.00e-04
Epoch [7/5] | Avg Train Recon: 98.3464 | Val Recon: 99.3542 | LR: 1.00e-04
Epoch [0/5] | Avg Train Recon: 60.0217 | Val Recon: 71.0709 | LR: 1.00e-04
Epoch [1/5] | Avg Train Recon: 71.8475 | Val Recon: 77.9269 | LR: 1.00e-04
Epoch [2/5] | Avg Train Recon: 76.5504 | Val Recon: 82.3951 | LR: 1.00e-04
Epoch [3/5] | Avg Train Recon: 79.9107 | Val Recon: 85.2922 | LR: 1.00e-04
Epoch [4/5] | Avg Train Recon: 82.3395 | Val Recon: 87.4851 | LR: 1.00e-04
Epoch [5/5] | Avg Train Recon: 84.0621 | Val Recon: 88.8548 | LR: 1.00e-04
Epoch [6/5] | Avg Train Recon: 85.2032 | Val Recon: 89.9322 | LR: 1.00e-04
Epoch [7/5] | Avg Train Recon: 86.2417 | Val Recon: 90.8405 | LR: 1.00e-04
Epoch [8/5] | Avg Train Recon: 87.3314 | Val Recon: 91.5235 | LR: 1.00e-04
Epoch [9/5] | Avg Train Recon: 88.0678 | Val Recon: 92.2533 | LR: 1.00e-04
Epoch [10/5] | Avg Train Recon: 88.5849 | Val Recon: 92.5944 | LR: 1.00e-04
Epoch [11/5] | Avg Train Recon: 89.3969 | Val Recon: 93.3585 | LR: 1.00e-04
Epoch [12/5] | Avg Train Recon: 89.9534 | Val Recon: 93.9923 | LR: 1.00e-04
Epoch [13/5] | Avg Train Recon: 90.4398 | Val Recon: 94.2700 | LR: 1.00e-04
Epoch [14/5] | Avg Train Recon: 90.9068 | Val Recon: 94.6037 | LR: 1.00e-04
Epoch [15/5] | Avg Train Recon: 91.3591 | Val Recon: 95.0505 | LR: 1.00e-04
Epoch [16/5] | Avg Train Recon: 91.6915 | Val Recon: 95.2817 | LR: 1.00e-04
Epoch [17/5] | Avg Train Recon: 91.9778 | Val Recon: 95.5457 | LR: 1.00e-04
Epoch [18/5] | Avg Train Recon: 92.3467 | Val Recon: 95.8152 | LR: 1.00e-04
Epoch [19/5] | Avg Train Recon: 92.6488 | Val Recon: 96.0567 | LR: 1.00e-04
Epoch [20/5] | Avg Train Recon: 92.8741 | Val Recon: 95.9827 | LR: 1.00e-04
Epoch [21/5] | Avg Train Recon: 93.1489 | Val Recon: 96.2864 | LR: 1.00e-04
Epoch [22/5] | Avg Train Recon: 93.4114 | Val Recon: 96.4170 | LR: 1.00e-04
Epoch [23/5] | Avg Train Recon: 93.6356 | Val Recon: 96.6958 | LR: 1.00e-04
Epoch [24/5] | Avg Train Recon: 93.9574 | Val Recon: 96.7175 | LR: 1.00e-04
Epoch [25/5] | Avg Train Recon: 94.0720 | Val Recon: 96.8630 | LR: 1.00e-04
Epoch [26/5] | Avg Train Recon: 94.2347 | Val Recon: 97.0169 | LR: 1.00e-04
Epoch [27/5] | Avg Train Recon: 94.5141 | Val Recon: 97.2185 | LR: 1.00e-04
Epoch [28/5] | Avg Train Recon: 94.5804 | Val Recon: 97.2478 | LR: 1.00e-04
Epoch [29/5] | Avg Train Recon: 95.0932 | Val Recon: 97.6503 | LR: 1.00e-05
Epoch [30/5] | Avg Train Recon: 95.2523 | Val Recon: 97.7000 | LR: 1.00e-05
